"padj","gene","symbol","rank","rank_change"
7.35253129002485e-11,"ENSG00000278897","AC020951.1",401,-85
7.45651875970732e-11,"ENSG00000185043","CIB1",402,-304
7.45651875970732e-11,"ENSG00000220517","ASS1P1",403,58
7.60074685285891e-11,"ENSG00000279814","AC010997.6",404,-72
7.7184045772639e-11,"ENSG00000249592","AC139887.2",405,1538
7.81738015355388e-11,"ENSG00000166004","CEP295",406,-201
8.08369152700579e-11,"ENSG00000171051","FPR1",407,-170
8.23644135147817e-11,"ENSG00000254860","TMEM9B-AS1",408,4427
8.53047048647589e-11,"ENSG00000228696","ARL17B",409,3561
8.69692234884079e-11,"ENSG00000235740","PHACTR2-AS1",410,-49
8.71934530537231e-11,"ENSG00000272219","AC005072.1",411,-133
8.75333633439621e-11,"ENSG00000258725","PRC1-AS1",412,3927
9.39353927780122e-11,"ENSG00000171962","DRC3",413,311
9.4468155671226e-11,"ENSG00000008056","SYN1",414,-146
9.4468155671226e-11,"ENSG00000188536","HBA2",415,-157
9.55984047366408e-11,"ENSG00000168309","FAM107A",416,-330
9.61616383417492e-11,"ENSG00000146858","ZC3HAV1L",417,234
9.70635793909558e-11,"ENSG00000161960","EIF4A1",418,29646
9.81868711736524e-11,"ENSG00000109107","ALDOC",419,-163
1.00226968100776e-10,"ENSG00000104879","CKM",420,-308
1.00226968100776e-10,"ENSG00000138780","GSTCD",421,-102
1.02362343898812e-10,"ENSG00000105374","NKG7",422,-194
1.02362343898812e-10,"ENSG00000257335","MGAM",423,-191
1.02850100757838e-10,"ENSG00000253320","MAILR",424,19341
1.11013756639549e-10,"ENSG00000122367","LDB3",425,-377
1.11013756639549e-10,"ENSG00000159110","IFNAR2",426,25721
1.14542446879821e-10,"ENSG00000136824","SMC2",427,-187
1.25237968304922e-10,"ENSG00000277443","MARCKS",428,-163
1.29043409275297e-10,"ENSG00000159173","TNNI1",429,-300
1.34454067447467e-10,"ENSG00000213588","ZBTB9",430,13778
1.38367257235151e-10,"ENSG00000258199","AC073896.4",431,13253
1.39997632480101e-10,"ENSG00000156970","BUB1B",432,-242
